epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,7332.66,1.77339,1.77758,1.5124,0.31013,0.21323,0.16641,0.08986,1.9055,3.66992,1.67649,0.00010607,0.00010607,0.00010607
101,7378.14,1.73681,1.77794,1.52711,0.29359,0.21482,0.16737,0.09002,1.91447,3.67402,1.67812,0.00010504,0.00010504,0.00010504
102,7423.63,1.72384,1.79714,1.51009,0.30445,0.20535,0.16672,0.09058,1.90212,3.68596,1.67051,0.00010401,0.00010401,0.00010401
103,7469.13,1.75511,1.74334,1.51865,0.56521,0.16628,0.16669,0.09372,1.86751,3.70929,1.67136,0.000102981,0.000102981,0.000102981
104,7514.92,1.73701,1.75889,1.48647,0.4705,0.18321,0.16482,0.09243,1.87785,3.71712,1.65448,0.000101951,0.000101951,0.000101951
105,7560.62,1.72712,1.75961,1.52395,0.45145,0.19238,0.16166,0.08985,1.88867,3.71917,1.65668,0.000100922,0.000100922,0.000100922
106,7605.95,1.69347,1.72868,1.51378,0.54644,0.19878,0.16362,0.09068,1.85273,3.73136,1.65468,9.9892e-05,9.9892e-05,9.9892e-05
107,7651.45,1.75451,1.73161,1.54218,0.51244,0.19678,0.16275,0.09061,1.89001,3.68976,1.65911,9.88624e-05,9.88624e-05,9.88624e-05
108,7697,1.68779,1.68862,1.5149,0.4014,0.19651,0.15312,0.08354,1.9577,3.6635,1.68012,9.78328e-05,9.78328e-05,9.78328e-05
109,7742.3,1.72336,1.74649,1.53459,0.37899,0.20444,0.15533,0.08466,1.92396,3.65716,1.66582,9.68032e-05,9.68032e-05,9.68032e-05
110,7787.6,1.70936,1.71996,1.4918,0.41905,0.2033,0.15721,0.08665,1.92166,3.65519,1.65131,9.57736e-05,9.57736e-05,9.57736e-05
111,7833.05,1.73284,1.76622,1.50697,0.44054,0.19707,0.15997,0.0886,1.91366,3.66474,1.64797,9.4744e-05,9.4744e-05,9.4744e-05
112,7878.48,1.68597,1.68054,1.47492,0.4752,0.21813,0.16568,0.09255,1.86232,3.66994,1.63437,9.37144e-05,9.37144e-05,9.37144e-05
113,7923.78,1.69656,1.74745,1.55717,0.47249,0.21207,0.1668,0.09417,1.86116,3.68078,1.64214,9.26848e-05,9.26848e-05,9.26848e-05
114,7969.4,1.68295,1.69626,1.46912,0.48708,0.20827,0.16536,0.09291,1.89219,3.70546,1.65384,9.16552e-05,9.16552e-05,9.16552e-05
115,8014.9,1.68113,1.70021,1.47749,0.53349,0.19568,0.16757,0.09576,1.88924,3.74192,1.66626,9.06256e-05,9.06256e-05,9.06256e-05
116,8060.66,1.71413,1.74801,1.51092,0.52735,0.20784,0.17392,0.10078,1.85693,3.75045,1.66173,8.9596e-05,8.9596e-05,8.9596e-05
117,8106.15,1.70847,1.70925,1.50113,0.54989,0.20894,0.17477,0.10165,1.84794,3.75636,1.66638,8.85664e-05,8.85664e-05,8.85664e-05
118,8151.28,1.67356,1.69242,1.48437,0.5282,0.20512,0.17751,0.10224,1.8648,3.73209,1.6653,8.75368e-05,8.75368e-05,8.75368e-05
119,8196.69,1.66388,1.65963,1.47217,0.50074,0.21286,0.17976,0.10262,1.87033,3.71613,1.67835,8.65072e-05,8.65072e-05,8.65072e-05
120,8242.33,1.67891,1.78117,1.53987,0.40413,0.22366,0.17784,0.10279,1.87304,3.72553,1.69636,8.54776e-05,8.54776e-05,8.54776e-05
121,8287.76,1.72392,1.6971,1.5379,0.39577,0.20426,0.17271,0.09865,1.91005,3.71906,1.70213,8.4448e-05,8.4448e-05,8.4448e-05
122,8333.66,1.6561,1.68564,1.49677,0.37889,0.21003,0.16781,0.09356,1.95471,3.72811,1.69777,8.34184e-05,8.34184e-05,8.34184e-05
123,8379.29,1.67613,1.6595,1.47226,0.40156,0.20289,0.16831,0.09535,1.93312,3.73098,1.69654,8.23888e-05,8.23888e-05,8.23888e-05
124,8425.11,1.68083,1.68616,1.48013,0.45461,0.20454,0.1704,0.09613,1.93624,3.7354,1.70356,8.13592e-05,8.13592e-05,8.13592e-05
125,8470.88,1.6781,1.6619,1.4774,0.45179,0.21984,0.17078,0.0969,1.92135,3.75089,1.69844,8.03296e-05,8.03296e-05,8.03296e-05
126,8516.57,1.667,1.67846,1.49754,0.45632,0.2222,0.17402,0.09991,1.87799,3.77329,1.68752,7.93e-05,7.93e-05,7.93e-05
127,8562.22,1.62014,1.64558,1.46906,0.49361,0.21231,0.17518,0.10173,1.86419,3.76014,1.67467,7.82704e-05,7.82704e-05,7.82704e-05
128,8607.67,1.66105,1.6762,1.5337,0.51501,0.20949,0.17442,0.10176,1.8611,3.72631,1.65038,7.72408e-05,7.72408e-05,7.72408e-05
129,8653.31,1.66454,1.66975,1.51302,0.52554,0.20739,0.17276,0.09851,1.89137,3.70207,1.64935,7.62112e-05,7.62112e-05,7.62112e-05
130,8699.09,1.64041,1.64886,1.47738,0.52348,0.20834,0.17191,0.09663,1.92413,3.67188,1.66888,7.51816e-05,7.51816e-05,7.51816e-05
131,8744.66,1.66542,1.63678,1.49734,0.41383,0.22196,0.17408,0.09925,1.91191,3.65505,1.66554,7.4152e-05,7.4152e-05,7.4152e-05
132,8790.26,1.65696,1.65738,1.47939,0.37236,0.2282,0.17611,0.09997,1.88835,3.65692,1.66889,7.31224e-05,7.31224e-05,7.31224e-05
133,8835.72,1.69524,1.66394,1.50742,0.39,0.22496,0.17828,0.10079,1.89067,3.66605,1.66679,7.20928e-05,7.20928e-05,7.20928e-05
134,8881.36,1.63596,1.66161,1.4858,0.45729,0.21736,0.17846,0.09909,1.91292,3.65354,1.67308,7.10632e-05,7.10632e-05,7.10632e-05
135,8927.2,1.64743,1.62476,1.47564,0.48182,0.20657,0.17901,0.09808,1.91921,3.65927,1.67611,7.00336e-05,7.00336e-05,7.00336e-05
136,8972.94,1.61177,1.66711,1.48706,0.47557,0.20552,0.1775,0.09698,1.93672,3.65795,1.6775,6.9004e-05,6.9004e-05,6.9004e-05
137,9019.01,1.61437,1.61076,1.45107,0.44585,0.19924,0.17419,0.0949,1.95251,3.67463,1.68439,6.79744e-05,6.79744e-05,6.79744e-05
138,9064.95,1.65443,1.73767,1.52625,0.48443,0.19184,0.17488,0.0992,1.9132,3.6997,1.66571,6.69448e-05,6.69448e-05,6.69448e-05
139,9110.62,1.59919,1.59884,1.474,0.49883,0.20037,0.18005,0.10342,1.86544,3.72503,1.67125,6.59152e-05,6.59152e-05,6.59152e-05
140,9156.49,1.64978,1.6331,1.50527,0.518,0.19575,0.18076,0.10223,1.87041,3.71238,1.66084,6.48856e-05,6.48856e-05,6.48856e-05
141,9202.37,1.62168,1.5937,1.42912,0.49901,0.1987,0.1788,0.09887,1.90051,3.70205,1.66054,6.3856e-05,6.3856e-05,6.3856e-05
142,9248.15,1.66196,1.62013,1.45218,0.5466,0.19759,0.18085,0.09852,1.89676,3.69109,1.66378,6.28264e-05,6.28264e-05,6.28264e-05
143,9293.94,1.60063,1.58754,1.447,0.55166,0.20328,0.18589,0.10547,1.86342,3.67515,1.66899,6.17968e-05,6.17968e-05,6.17968e-05
144,9340.1,1.65825,1.61054,1.46878,0.54584,0.21017,0.18554,0.1073,1.84152,3.68438,1.66666,6.07672e-05,6.07672e-05,6.07672e-05
145,9386.41,1.66818,1.58808,1.45348,0.53786,0.21369,0.18755,0.10792,1.84963,3.68867,1.66816,5.97376e-05,5.97376e-05,5.97376e-05
146,9432.35,1.60098,1.61816,1.46578,0.49899,0.20632,0.18287,0.10228,1.86215,3.68028,1.65426,5.8708e-05,5.8708e-05,5.8708e-05
147,9478.3,1.57641,1.58544,1.42794,0.55659,0.19608,0.18057,0.10178,1.85548,3.68633,1.6465,5.76784e-05,5.76784e-05,5.76784e-05
148,9524.06,1.61241,1.58297,1.44756,0.53114,0.19965,0.17961,0.10105,1.85779,3.6984,1.64625,5.66488e-05,5.66488e-05,5.66488e-05
149,9569.73,1.58291,1.62585,1.48778,0.52692,0.20199,0.17642,0.09824,1.89509,3.70092,1.65453,5.56192e-05,5.56192e-05,5.56192e-05
150,9615.66,1.6082,1.62837,1.43781,0.5013,0.20324,0.17705,0.0996,1.89248,3.69799,1.65829,5.45896e-05,5.45896e-05,5.45896e-05
151,9661.49,1.57561,1.58303,1.4525,0.47474,0.20573,0.17662,0.10027,1.90769,3.68619,1.66905,5.356e-05,5.356e-05,5.356e-05
152,9707.37,1.5939,1.62301,1.47371,0.47195,0.20517,0.17798,0.10067,1.90936,3.67018,1.66828,5.25304e-05,5.25304e-05,5.25304e-05
153,9753.28,1.55177,1.55456,1.40277,0.5224,0.20776,0.18007,0.10204,1.89597,3.68356,1.66304,5.15008e-05,5.15008e-05,5.15008e-05
154,9799.43,1.62071,1.58855,1.43167,0.52464,0.2053,0.17976,0.10239,1.90739,3.69283,1.66443,5.04712e-05,5.04712e-05,5.04712e-05
155,9845.4,1.58071,1.58832,1.44741,0.55904,0.20695,0.17885,0.10274,1.88766,3.70409,1.65844,4.94416e-05,4.94416e-05,4.94416e-05
156,9891.39,1.56552,1.53872,1.40958,0.53507,0.20102,0.17957,0.10392,1.88212,3.71217,1.66711,4.8412e-05,4.8412e-05,4.8412e-05
157,9937.24,1.58003,1.57018,1.43678,0.52838,0.19317,0.1797,0.10316,1.87472,3.71299,1.66618,4.73824e-05,4.73824e-05,4.73824e-05
158,9983.03,1.58393,1.62789,1.47029,0.46864,0.2028,0.17842,0.10266,1.88196,3.71154,1.66287,4.63528e-05,4.63528e-05,4.63528e-05
159,10028.8,1.59068,1.62325,1.46624,0.47568,0.20686,0.18196,0.1049,1.85447,3.6953,1.6517,4.53232e-05,4.53232e-05,4.53232e-05
160,10074.7,1.56215,1.55333,1.43123,0.45763,0.20467,0.18235,0.105,1.8599,3.68432,1.65594,4.42936e-05,4.42936e-05,4.42936e-05
161,10120.7,1.60691,1.57605,1.42444,0.4581,0.20301,0.18176,0.10346,1.87688,3.6756,1.66282,4.3264e-05,4.3264e-05,4.3264e-05
162,10166.4,1.57386,1.58975,1.45986,0.48848,0.20384,0.1818,0.1032,1.89118,3.66882,1.67527,4.22344e-05,4.22344e-05,4.22344e-05
163,10212.5,1.56759,1.55819,1.40972,0.48754,0.20062,0.1844,0.10624,1.86888,3.6676,1.67748,4.12048e-05,4.12048e-05,4.12048e-05
164,10258.4,1.60412,1.55997,1.44491,0.49498,0.20552,0.18565,0.10815,1.84366,3.6661,1.66934,4.01752e-05,4.01752e-05,4.01752e-05
165,10304.3,1.59196,1.592,1.45695,0.49793,0.20235,0.18631,0.10693,1.85208,3.66904,1.66791,3.91456e-05,3.91456e-05,3.91456e-05
166,10350.2,1.54587,1.53678,1.41665,0.49071,0.20565,0.18585,0.10584,1.88497,3.66257,1.67515,3.8116e-05,3.8116e-05,3.8116e-05
167,10396.1,1.57071,1.57319,1.43437,0.51055,0.20168,0.1863,0.10382,1.90217,3.66401,1.68019,3.70864e-05,3.70864e-05,3.70864e-05
168,10442,1.55101,1.56398,1.40408,0.51102,0.20804,0.18802,0.10749,1.85425,3.66643,1.65688,3.60568e-05,3.60568e-05,3.60568e-05
169,10487.7,1.53403,1.51403,1.40192,0.50449,0.21221,0.18867,0.10819,1.8336,3.67055,1.64907,3.50272e-05,3.50272e-05,3.50272e-05
170,10533.5,1.56909,1.54079,1.39824,0.48575,0.21313,0.18706,0.10776,1.82982,3.66403,1.64484,3.39976e-05,3.39976e-05,3.39976e-05
171,10579.2,1.57921,1.51851,1.43207,0.48222,0.20678,0.18673,0.10681,1.82792,3.6586,1.63969,3.2968e-05,3.2968e-05,3.2968e-05
172,10624.9,1.58977,1.60368,1.4281,0.4967,0.20188,0.18717,0.10637,1.83764,3.66726,1.64749,3.19384e-05,3.19384e-05,3.19384e-05
173,10670.6,1.55335,1.52746,1.41899,0.49379,0.20203,0.18705,0.10637,1.84625,3.67129,1.6511,3.09088e-05,3.09088e-05,3.09088e-05
174,10716.3,1.56072,1.52933,1.41409,0.49212,0.20116,0.18724,0.10696,1.84117,3.66519,1.6494,2.98792e-05,2.98792e-05,2.98792e-05
175,10762.2,1.59325,1.62324,1.46772,0.49811,0.19819,0.18738,0.10703,1.83739,3.65814,1.6414,2.88496e-05,2.88496e-05,2.88496e-05
176,10808.2,1.60175,1.55357,1.42111,0.48755,0.20053,0.18531,0.10543,1.85451,3.65187,1.6464,2.782e-05,2.782e-05,2.782e-05
177,10854.2,1.53586,1.54594,1.42683,0.48833,0.19906,0.1834,0.10314,1.87124,3.65486,1.65222,2.67904e-05,2.67904e-05,2.67904e-05
178,10900.1,1.5832,1.56229,1.44683,0.48247,0.20222,0.18312,0.10128,1.88592,3.65253,1.65725,2.57608e-05,2.57608e-05,2.57608e-05
179,10946.1,1.54069,1.53267,1.39618,0.46055,0.20856,0.18365,0.10279,1.8789,3.6508,1.65621,2.47312e-05,2.47312e-05,2.47312e-05
180,10992,1.55644,1.5464,1.41831,0.46266,0.21163,0.18408,0.10355,1.88016,3.65705,1.65946,2.37016e-05,2.37016e-05,2.37016e-05
181,11037.8,1.54947,1.56135,1.40477,0.45307,0.20917,0.18397,0.10293,1.89309,3.65969,1.66301,2.2672e-05,2.2672e-05,2.2672e-05
182,11083.8,1.56717,1.54561,1.4415,0.4466,0.20937,0.18256,0.10097,1.89975,3.66028,1.66348,2.16424e-05,2.16424e-05,2.16424e-05
183,11129.4,1.56318,1.55072,1.42936,0.4461,0.20736,0.18241,0.10104,1.89496,3.65656,1.6633,2.06128e-05,2.06128e-05,2.06128e-05
184,11175.2,1.51024,1.53014,1.40464,0.45938,0.20028,0.18008,0.10085,1.90067,3.66199,1.66849,1.95832e-05,1.95832e-05,1.95832e-05
185,11220.9,1.55756,1.50868,1.38258,0.4051,0.20697,0.18127,0.10211,1.88797,3.65807,1.66868,1.85536e-05,1.85536e-05,1.85536e-05
186,11266.8,1.5817,1.50786,1.41463,0.40536,0.2122,0.18244,0.10292,1.88934,3.65219,1.67561,1.7524e-05,1.7524e-05,1.7524e-05
187,11312.6,1.55628,1.52989,1.43271,0.45011,0.20839,0.18239,0.10276,1.8942,3.65033,1.67585,1.64944e-05,1.64944e-05,1.64944e-05
188,11358.5,1.50453,1.53387,1.41047,0.45043,0.21034,0.18276,0.10241,1.89196,3.64769,1.67782,1.54648e-05,1.54648e-05,1.54648e-05
189,11404.6,1.53917,1.52066,1.41578,0.47471,0.20368,0.18326,0.10304,1.88378,3.64938,1.67392,1.44352e-05,1.44352e-05,1.44352e-05
190,11450.9,1.55499,1.51323,1.41673,0.47564,0.20993,0.18566,0.10474,1.87447,3.65322,1.67305,1.34056e-05,1.34056e-05,1.34056e-05
191,11496,1.60931,1.67373,1.5455,0.49889,0.20675,0.18364,0.10266,1.89359,3.66798,1.67941,1.2376e-05,1.2376e-05,1.2376e-05
192,11541.1,1.61223,1.71231,1.52991,0.52333,0.20252,0.18109,0.10263,1.88803,3.69859,1.66831,1.13464e-05,1.13464e-05,1.13464e-05
193,11586,1.59928,1.6441,1.53393,0.58665,0.18623,0.17935,0.10173,1.87997,3.71472,1.6675,1.03168e-05,1.03168e-05,1.03168e-05
194,11631.1,1.49903,1.55257,1.50488,0.55982,0.19009,0.17713,0.10032,1.87989,3.72754,1.66867,9.2872e-06,9.2872e-06,9.2872e-06
195,11676.3,1.5091,1.51006,1.49499,0.53568,0.18843,0.17238,0.09733,1.89162,3.72695,1.66947,8.2576e-06,8.2576e-06,8.2576e-06
196,11721.3,1.64376,1.61206,1.53065,0.57327,0.18575,0.16937,0.09526,1.90831,3.72905,1.67558,7.228e-06,7.228e-06,7.228e-06
197,11766.7,1.55645,1.53526,1.51061,0.57324,0.1865,0.16731,0.09417,1.92358,3.72657,1.67422,6.1984e-06,6.1984e-06,6.1984e-06
198,11811.9,1.58778,1.57066,1.50358,0.54684,0.18503,0.16464,0.09261,1.94663,3.73262,1.68129,5.1688e-06,5.1688e-06,5.1688e-06
199,11857.1,1.53072,1.50738,1.45502,0.52311,0.183,0.16249,0.08991,1.96718,3.7282,1.69015,4.1392e-06,4.1392e-06,4.1392e-06
200,11902.5,1.49629,1.50938,1.4822,0.52122,0.1769,0.15673,0.08859,1.9838,3.7363,1.69828,3.1096e-06,3.1096e-06,3.1096e-06
